evar69,evar66,product,units,segment.id,segment.name
43609,50038611,William Morris Coaster Set of 6 Mixed Designs,1,,
43610,50036981,National Trust Wooden Disc Necklace Multi Colour,1,,
43611,50038891,Cast Iron Rusty Pig Sculpture,1,,
43611,50038892,Rusty Baby Pig Sculpture,1,,
43612,30073388,Beatrix Potter Flopsy Bunny Soft Toy Large,1,,
43612,30078619,William Morris Strawberry Thief Cross Body Bag,1,,
43614,30076862,National Trust Karabiner Multi Tool,1,,
43614,30095231,National Trust Flat Panel LED Light,2,,
43616,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,1,,
43616,50031159,Wooden Advent Calendar Natural,1,,
43616,50031161,Feather Birds with Clip Tree Decorations Set of 3,2,,
43616,50042797,National Trust Moonlit Hare Christmas Cards Pack of 10,1,,
43616,50042803,National Trust Mistletoe Hare Christmas Cards Pack of 10,1,,
43616,50042807,National Trust Garden Christmas Cards Pack of 10,1,,
43617,50029517,National Trust Moonlight Snowfall Christmas Card Pack of 10,1,,
43617,50042795,National Trust Pheasant Christmas Cards Pack of 10,1,,
43617,50042801,National Trust Stag in a Snowstorm Christmas Cards Pack of 10,1,,
43617,50042807,National Trust Garden Christmas Cards Pack of 10,1,,
43617,50043932,National Trust Knightshayes Jacquard Throw Blue,1,,
43619,50037891,Out and About Bird Spotter,1,,
43619,50045553,Explorer Binoculars Assorted Colours,1,,
43620,50006791,National Trust Alex Clark Betty Dog Christmas Cards Pack of 10,1,,
43620,50029515,National Trust Three Robins Christmas Card Pack 10,4,,
43620,50044644,National Trust Christmas Condiment Collection,1,,
43621,50045181,Antique Cherry Red Bauble with Gold Leaves,2,,
43621,50045182,Beaded Leaf and Red Berries Bauble Matt Green,1,,
43622,30084948,Twig Hedgehog Christmas Tree Decoration,1,,
43622,50031287,Felt Barn Owl Christmas Tree Decoration,1,,
43622,50037890,Who's Hiding in the Woods?,1,,
43622,50045543,35 Piece Jigsaw Farm Puzzle Observation,1,,
43622,50045811,Farmyard Life Transfers,1,,
43623,50028820,National Trust Moonlit Owl Christmas Cards Pack of 10,1,,
43623,50031181,Rust Woodland Christmas Wreath,1,,
43623,50042802,National Trust Robin Christmas Cards Pack of 10,1,,
43624,30047378,Upright Heron Sculpture,1,,
43625,30076199,Traditional Cast Iron Rope Doorbell,1,,
43625,50042536,Ceramic Star Decoration White and Blue,4,,
43626,50042802,National Trust Robin Christmas Cards Pack of 10,3,,
43626,50042808,National Trust Robert Gillmor Wildlife Prints Calendar 2020,1,,
43627,50006506,Feather Robin on Clip Christmas Decoration,1,,
